Year,Quarter,1. Interest and Similar Income,2. Interest and Similar Expenses,I. Net Interest Income,3. Fees and Commission income,4. Fees and Commission expenses,II. Net Fee and Commission Income,III. Net gain/(loss) from foreign currency and gold dealings,IV. Net gain/(loss) from trading of trading securities,V. Net gain/(loss) from disposal of investment securities,5. Other incomes,6. Other expenses,VI. Net Other income/(expenses),VII. Dividends income,Total operating income,VIII.General and Admin expenses,IX. Operating Profit Before Provision for Credit Losses,X. Provision for credit losses,XI. Profit before tax,7. Business income tax - current,8. Business income tax - deferred,XII. Business Income Tax,XIII. Net Profit For the Year,XIV. Minority Interest,XV. Basic Earnings Per Share
2010,1,1326689780665,-1013193624297,313496156368,141331019209,-21702382221,119628636988,28158948494,0,4642698349,54719970681,-14578787250,40141183431,5563795547,511631419177,-225560874013,286070545164,-81793530504,204277014660,-43800000000,0,-43800000000,160477014660,0,0
2010,2,1468441991851,-1007437788668,461004203183,80287012453,-15023575285,65263437168,10871801847,0,27444482584,193263646445,-29245691291,164017955154,2221792000,730823671936,-241516836985,489306834951,-230527642041,258779192910,-71964051893,0,-71964051893,186815141017,0,0
2011,1,2657578227895,-1919137786355,738440441540,108873552001,-24788315267,84085236734,28224997912,0,-9072515712,91550194674,-100843467675,-9293273001,368682263,832753569736,-351613749446,481139820290,-116863934397,364275885893,-86450000000,0,-86450000000,277825885893,0,0
2011,2,3055863452319,-2006740337535,1049123114784,70671139995,-23013402180,47657737815,12494265374,0,-9930340334,95843141471,-177646952753,-81803811282,4973823000,1022514789357,-379202990596,643311798761,-302494768373,340817030388,-87015632681,0,-87015632681,253801397707,0,0
2012,1,3972077782908,-2867785860928,1104291921980,63198052903,-96600683756,-33402630853,27696185832,0,79868046,237237272144,-148835339414,88401932730,0,1187067277735,-493596972383,693470305352,-297531104659,395939200693,-97100000000,0,-97100000000,298839200693,0,0
2012,2,3492669095548,-2752518364352,740150731196,59724576551,32975559960,92700136511,-148246940,0,4655288093,164390409137,15340442653,179730851790,1472505000,1018561265650,-514789455667,503771809983,-320678043640,183093766343,-33723130061,0,-33723130061,149370636282,0,0
2012,3,2522311942024,-1946949611075,575362330949,55524859296,-6288293290,49236566006,9463305278,0,1979133072,173214824044,-67989147149,105225676895,6167625258,747434637458,-444005510297,303429127161,-381103167977,-77674040816,1006814580,0,1006814580,-76667226236,0,0
2012,4,2011748586538,-1397373009000,614375577538,54675803021,-36334302566,18341500455,1169305140,0,-38482570611,313368454210,-257936659726,55431794484,769480000,651605087006,-391119126150,260485960856,-54887791220,205598169636,-35104252216,0,-35104252216,170493917420,0,0
2013,1,1492915953844,-895273104499,597642849345,62454032705,-23465719952,38988312753,4849169620,0,141919252656,311181989649,-81800015167,229381974482,0,1012781558856,-397668944009,615112614847,-408097195753,207015419094,-40750284086,0,-40750284086,166265135008,0,0
2013,2,1100716046156,-579822895501,520893150655,65535967295,-27561280048,37974687247,-3684169620,0,36545747344,-245881989649,73371015167,-172510974482,4080000000,423298441144,-382356055991,40942385153,-44882804247,-3940419094,-18484715914,14247000000,-4237715914,-1900135008,6278000000,0
2013,3,1520396656919,-1080597654753,439799002166,51620821519,-17419694243,34201127276,21068626080,0,-19766784902,97603230495,-81943085067,15660145428,490000000,491452116048,-374281057794,117171058254,-320028070859,-202857012605,47176065918,0,47176065918,-155680946687,0,0
2013,4,1660853431938,-1113025437874,547827994064,54818830227,-28789344839,26029485388,792033189,0,68441365452,122186979987,-133924961372,-11737981385,499725000,631852621708,-471147367726,160705253982,-103948565794,56756688188,-30500000000,0,-30500000000,26256688188,0,0
2014,1,1865636747168,-1364462463944,501174283224,47088602082,-19315085756,27773516326,21428731844,0,-3331811786,107328326488,-39362508766,67965817722,0,615010537330,-415669822146,199340715184,-147761709552,51579005632,-16350682567,0,-16350682567,35228323065,0,0
2014,2,478767252832,50177463944,528944716776,76209397918,-19844914244,56364483674,-10543731844,0,170574811786,-7907326488,-17557491234,-25464817722,1253000000,721128462670,-319609177854,401519284816,-302318290448,99200994368,-16656317433,0,-16656317433,82544676935,0,0
2014,3,1668769812275,-1101352004993,567417807282,63756816917,-19508127367,44248689550,4335585067,0,-56216500919,106420385996,-54632002404,51788383592,0,611573964572,-410840930849,200733033723,-117292110065,83440923658,-22894306616,0,-22894306616,60546617042,0,0
2014,4,1816313569871,-1120966542016,695347027855,73055543551,-22514375233,50541168318,-39203177479,0,-19695938685,897595917946,-104939143162,792656774784,150000000,1479795854793,-441165940422,1038629914371,-624216881647,414413032724,-88405306756,15505693716,-72899613040,341513419684,0,0
2015,1,1675418453670,-1132225362997,543193090673,63614596295,-20207476237,43407120058,-20275816305,0,83179003110,75406337043,-59777471809,15628865234,16946940000,682079202770,-401956567645,280122635125,-140716265479,139406369646,-20196000000,0,-20196000000,119210369646,0,0
2015,2,803869000000,-176800000000,627069000000,61386000000,-28429000000,32957000000,14000000,0,5042000000,18752000000,19433000000,38185000000,2599000000,705866000000,-417847000000,288019000000,-143930000000,144089000000,-41107000000,0,-41107000000,102982000000,0,0
2015,3,1128688243991,-558529623589,570158620402,72584470410,-32633587764,39950882646,-1312753391,0,-7200015975,37564844549,-10207712740,27357131809,0,628953865491,-450960743367,177993122124,-91586082487,86407039637,-19906083345,0,-19906083345,66500956292,0,0
2015,4,1185589000000,-582630000000,602959000000,81329000000,-33690000000,47639000000,11072000000,0,10590000000,218695000000,-10754000000,207941000000,38852000000,919053000000,-503741000000,415312000000,-129803000000,285509000000,-87121000000,3000000,-87118000000,198391000000,0,0
2016,1,1277532000000,-682423000000,595109000000,76703000000,-32551000000,44152000000,25945000000,0,68548000000,59258000000,-6737000000,52521000000,0,786275000000,-485896000000,300379000000,-158905000000,141474000000,-30146000000,-426000000,-30572000000,110902000000,0,0
2016,2,1278428000000,-681476000000,596952000000,90024000000,-26346000000,63678000000,-30882000000,0,59342000000,191794000000,-14436000000,177358000000,88000000,866536000000,-507960000000,358576000000,-194729000000,163847000000,-30901000000,0,-30901000000,132946000000,0,0
2016,3,1312458000000,-663440000000,649018000000,91703000000,-32644000000,59059000000,36976000000,0,40964000000,21619000000,-3449000000,18170000000,750000000,804937000000,-515787000000,289150000000,-183749000000,105401000000,-20957000000,0,-20957000000,84444000000,0,0
2016,4,1473682000000,-689441000000,784241000000,132880000000,-44133000000,88747000000,-7225000000,0,-19408000000,79973000000,-2768000000,77205000000,26719000000,950279000000,-586938000000,363341000000,-69774000000,293567000000,-58669000000,-252000000,-58921000000,234646000000,0,0
2017,1,1546685000000,-853947000000,692738000000,95515000000,-37814000000,57701000000,-21216000000,0,82965000000,34261000000,-4496000000,29765000000,0,841953000000,-539110000000,302843000000,-145707000000,157136000000,-31427000000,0,-31427000000,125709000000,0,0
2017,2,1728718000000,-961873000000,766845000000,146576000000,-35962000000,110614000000,-6014000000,0,-10015000000,35276000000,-3238000000,32038000000,750000000,894218000000,-591743000000,302475000000,-76305000000,226170000000,-45744000000,0,-45744000000,180426000000,0,0
2017,3,1812227000000,-920397000000,891830000000,127523000000,-48050000000,79473000000,-7091000000,0,94509000000,26320000000,-1036000000,25284000000,600000000,1084605000000,-604086000000,480519000000,-237615000000,242904000000,-48461000000,0,-48461000000,194443000000,0,0
2017,4,2104200000000,-1007346000000,1096854000000,224560000000,-63636000000,160924000000,-28384000000,0,-20134000000,61672000000,-15114000000,46558000000,30000000,1255848000000,-600527000000,655321000000,127097000000,782418000000,-156466000000,-11000000,-156477000000,625941000000,0,0
2018,1,2279423000000,-1226888000000,1052535000000,186547000000,-56505000000,130042000000,-12423000000,0,59063000000,37791000000,-16041000000,21750000000,0,1250967000000,-637393000000,613574000000,-95464000000,518110000000,-103622000000,0,-103622000000,414488000000,0,0
2018,2,2451177000000,-1247315000000,1203862000000,242147000000,-57098000000,185049000000,6548000000,0,-9540000000,77444000000,-15273000000,62171000000,535000000,1448625000000,-676801000000,771824000000,-139425000000,632399000000,-126373000000,0,-126373000000,506026000000,0,0
2018,3,2615441000000,-1341939000000,1273502000000,283446000000,-77503000000,205943000000,-14863000000,0,-20140000000,73289000000,-30899000000,42390000000,0,1486832000000,-682333000000,804499000000,-234522000000,569977000000,-113995000000,0,-113995000000,455982000000,0,0
2018,4,2743248000000,-1444330000000,1298918000000,314979000000,-101082000000,213897000000,-5339000000,0,-29927000000,410355000000,-21740000000,388615000000,0,1866164000000,-694027000000,1172137000000,-151069000000,1021068000000,-204266000000,51000000,-204215000000,816853000000,0,0
2019,1,2999549000000,-1614371000000,1385178000000,431100000000,-83503000000,347597000000,-60817000000,0,1417000000,57363000000,-16805000000,40558000000,0,1713933000000,-747759000000,966174000000,-156312000000,809862000000,-162077000000,0,-162077000000,647785000000,0,773
2019,2,3274806000000,-1742718000000,1532088000000,504557000000,-87824000000,416733000000,-25294000000,0,-28080000000,67956000000,-14973000000,52983000000,0,1948430000000,-774584000000,1173846000000,-163460000000,1010386000000,-202016000000,0,-202016000000,808370000000,0,1072
2019,3,3684902000000,-2066379000000,1618523000000,619586000000,-107939000000,511647000000,-28558000000,0,26140000000,91860000000,-12438000000,79422000000,175000000,2207349000000,-913166000000,1294183000000,-199164000000,1095019000000,-218991000000,0,-218991000000,876028000000,0,1034
2019,4,3899057000000,-2224535000000,1674522000000,682940000000,-161406000000,521534000000,-7015000000,0,2670000000,70374000000,-18980000000,51394000000,1591000000,2244696000000,-992598000000,1252098000000,-85838000000,1166260000000,-232886000000,35000000,-232851000000,933409000000,0,0
2020,1,4096663000000,-2297172000000,1799491000000,553204000000,-142307000000,410897000000,-9777000000,0,51037000000,37738000000,-29024000000,8714000000,0,2260362000000,-1029168000000,1231194000000,-155883000000,1075311000000,-215062000000,0,-215062000000,860249000000,0,931
2020,2,4135049000000,-2233113000000,1901936000000,745871000000,-134873000000,610998000000,-17946000000,0,30540000000,52224000000,-23467000000,28757000000,0,2554285000000,-1007740000000,1546545000000,-265389000000,1281156000000,-256233000000,0,-256233000000,1024923000000,0,1002
